time,btceur_open,btceur_high,btceur_low,btceur_close,volume
1602298800000,9609.99,9681.54,9609.99,9639.65,12.128463
1602302400000,9649.52,9654.3,9624.16,9648.69,2.514938
1602306000000,9644.94,9646.0,9600.18,9639.32,5.963878
1602309600000,9639.51,9646.0,9600.0,9600.01,10.471614
1602313200000,9600.01,9638.0,9600.0,9630.0,8.766576
1602316800000,9630.2,9646.0,9630.03,9635.69,5.783465
1602320400000,9635.5,9645.44,9554.57,9590.0,25.160311
1602324000000,9590.0,9590.73,9516.25,9565.11,21.641675
1602327600000,9566.42,9600.0,9555.67,9585.48,8.471255
1602331200000,9586.01,9598.63,9556.84,9589.11,9.467676
1602334800000,9589.11,9609.0,9568.01,9608.87,15.709418
1602338400000,9609.0,9610.0,9582.41,9610.0,9.241371
1602342000000,9610.0,9644.15,9572.91,9604.04,18.180988
1602345600000,9604.04,9621.62,9572.19,9588.0,11.014802
1602349200000,9585.74,9612.16,9578.0,9601.8,6.227884
1602352800000,9595.24,9614.0,9591.03,9613.08,4.427429
1602356400000,9609.64,9621.0,9599.01,9617.1,8.748631
1602360000000,9612.7,9618.65,9598.58,9614.04,7.007569
1602363600000,9617.82,9621.0,9586.97,9620.87,2.977564
1602367200000,9618.61,9620.01,9592.21,9596.76,5.382467
1602370800000,9595.48,9602.01,9522.2,9544.25,8.796845
1602374400000,9540.51,9560.0,9528.01,9560.0,1.763992
1602378000000,9560.0,9620.88,9556.57,9602.47,1.167679
1602381600000,9597.25,9614.32,9587.93,9592.18,1.677023
1602385200000,9591.92,9598.64,9568.73,9574.66,2.452871
1602388800000,9581.32,9594.11,9565.6,9576.81,0.796159
1602392400000,9577.52,9588.12,9563.32,9588.12,1.163626
1602396000000,9588.12,9620.88,9587.98,9600.56,2.967273
1602399600000,9600.55,9612.99,9589.85,9596.32,6.27956
1602403200000,9597.72,9614.06,9584.17,9598.09,3.679632
1602406800000,9598.0,9610.5,9582.49,9600.8,3.251664
1602410400000,9603.76,9644.16,9603.27,9644.16,8.233439
1602414000000,9644.16,9646.0,9605.38,9625.32,4.399181
1602417600000,9625.69,9632.95,9603.84,9618.45,5.043611
1602421200000,9620.07,9634.91,9600.2,9632.15,8.251358
1602424800000,9631.24,9666.35,9600.58,9622.68,17.242623
1602428400000,9629.53,9670.0,9629.43,9648.9,18.493576
1602432000000,9655.94,9668.0,9616.01,9637.15,8.57129
1602435600000,9643.88,9670.0,9641.2,9667.59,5.569994
1602439200000,9669.0,9680.0,9641.07,9669.51,9.918255
1602442800000,9669.73,9670.38,9591.01,9597.78,22.135252
1602446400000,9603.32,9634.8,9595.39,9595.39,9.622764
1602450000000,9595.39,9610.71,9550.0,9583.89,15.585944
1602453600000,9585.62,9624.98,9563.35,9620.22,4.465459
1602457200000,9620.65,9646.49,9610.88,9638.71,8.61168
1602460800000,9627.88,9639.75,9602.63,9633.83,1.342498
1602464400000,9631.59,9650.0,9615.0,9645.94,2.547363
1602468000000,9642.53,9643.16,9610.23,9637.57,4.678274
1602471600000,9641.14,9644.73,9622.1,9624.12,0.851228
1602475200000,9620.47,9627.23,9602.63,9624.06,3.159546
1602478800000,9624.06,9639.6,9618.1,9634.07,2.515266
1602482400000,9631.87,9639.59,9604.24,9612.52,6.196734
1602486000000,9612.52,9677.95,9600.36,9661.06,13.036498
1602489600000,9661.06,9678.57,9642.57,9653.29,15.163429
1602493200000,9651.83,9671.12,9632.64,9661.13,17.364946
1602496800000,9660.04,9669.52,9530.13,9595.0,44.268149
1602500400000,9593.95,9600.01,9572.56,9586.49,24.988034
1602504000000,9580.05,9602.24,9560.0,9599.0,21.713515
1602507600000,9598.99,9780.0,9589.17,9751.82,54.70004
1602511200000,9752.6,9778.3,9714.12,9752.82,26.147703
1602514800000,9752.33,9839.07,9747.58,9814.69,33.200463
1602518400000,9814.69,9846.97,9801.6,9820.53,28.06209
1602522000000,9828.14,9836.14,9803.79,9826.0,12.471889
1602525600000,9826.0,9836.45,9805.73,9809.06,24.908047
1602529200000,9812.94,9820.35,9803.8,9810.94,8.46776
1602532800000,9814.38,9820.85,9800.0,9817.88,11.81822
1602536400000,9820.55,9931.6,9815.79,9906.2,23.73898
1602540000000,9906.2,9920.0,9870.01,9886.28,17.811077
1602543600000,9886.62,9886.62,9716.67,9745.32,43.464143
1602547200000,9745.32,9764.1,9666.96,9726.49,13.268182
1602550800000,9723.44,9743.46,9690.88,9738.45,2.919093
1602554400000,9725.55,9738.42,9698.51,9720.76,3.103165
1602558000000,9724.94,9724.94,9672.38,9700.0,3.407289
1602561600000,9690.26,9726.37,9685.41,9720.83,1.590484
1602565200000,9723.51,9766.07,9719.01,9758.01,7.974778
1602568800000,9757.94,9758.87,9728.63,9751.03,5.813264
1602572400000,9759.35,9760.0,9718.14,9748.37,15.115281
1602576000000,9735.14,9788.08,9735.14,9782.01,24.754171
1602579600000,9782.49,9792.04,9762.16,9768.57,22.671374
1602583200000,9768.57,9845.15,9700.0,9813.28,39.301638
1602586800000,9811.93,9823.61,9768.42,9784.46,20.724533
1602590400000,9784.5,9803.01,9737.28,9757.44,19.771469
1602594000000,9747.75,9756.04,9671.02,9683.39,34.814651
1602597600000,9676.7,9737.77,9653.06,9735.97,33.22585
1602601200000,9735.49,9764.39,9698.39,9740.8,15.552433
1602604800000,9741.99,9751.38,9705.51,9751.38,16.35062
1602608400000,9750.88,9756.35,9710.0,9715.87,14.460451
1602612000000,9713.07,9751.5,9703.73,9730.7,15.573435
1602615600000,9731.19,9770.0,9724.73,9743.0,12.414144
1602619200000,9736.13,9771.01,9736.06,9771.01,7.311751
1602622800000,9771.01,9793.3,9760.81,9788.41,9.808579
1602626400000,9788.23,9797.52,9761.25,9781.17,6.444814
1602630000000,9781.23,9789.07,9763.91,9767.65,2.345272
1602633600000,9777.8,9819.9,9762.75,9814.53,4.217484
1602637200000,9808.58,9814.68,9781.67,9791.82,2.288251
1602640800000,9793.57,9793.57,9768.17,9768.18,0.796429
1602644400000,9775.0,9788.41,9703.55,9706.55,27.394755
1602648000000,9703.05,9723.2,9654.0,9705.36,20.490355
1602651600000,9705.75,9730.21,9701.4,9728.74,4.2343
1602655200000,9728.74,9770.72,9718.22,9770.22,12.299775
1602658800000,9770.72,9771.22,9746.85,9763.69,17.345553
1602662400000,9763.91,9790.26,9763.0,9789.32,13.022117
1602666000000,9787.35,9794.49,9763.01,9773.2,13.015633
1602669600000,9776.49,9782.59,9720.0,9738.98,16.707843
1602673200000,9735.14,9762.75,9718.05,9718.83,15.394543
1602676800000,9715.56,9739.77,9705.74,9738.59,16.506708
1602680400000,9740.0,9854.78,9731.83,9846.81,33.061022
1602684000000,9846.3,9846.81,9703.35,9723.13,36.847456
1602687600000,9725.11,9738.54,9639.53,9674.01,49.412341
1602691200000,9665.03,9701.28,9648.62,9693.98,14.526962
1602694800000,9688.53,9697.91,9672.06,9687.01,22.91014
1602698400000,9687.0,9702.33,9651.05,9688.19,9.662646
1602702000000,9687.59,9717.25,9687.59,9692.01,14.213113
1602705600000,9693.66,9730.94,9690.21,9727.38,11.586456
1602709200000,9727.38,9750.3,9714.23,9720.77,5.843923
1602712800000,9720.05,9755.33,9720.05,9745.93,3.993527
1602716400000,9743.15,9755.13,9725.08,9738.5,11.948778
1602720000000,9744.75,9750.92,9716.06,9716.06,0.792389
1602723600000,9717.15,9722.05,9686.98,9714.97,4.624712
1602727200000,9709.87,9729.55,9693.11,9703.58,0.40497
1602730800000,9701.32,9712.89,9698.8,9707.17,0.40252
1602734400000,9711.58,9726.37,9693.34,9715.72,1.832135
1602738000000,9714.6,9738.54,9710.14,9730.0,1.161582
1602741600000,9727.13,9744.01,9712.37,9727.1,2.831359
1602745200000,9735.35,9755.45,9713.0,9755.45,9.809842
1602748800000,9756.0,9760.0,9717.72,9730.16,35.72609
1602752400000,9726.72,9729.97,9657.0,9696.63,37.669276
1602756000000,9697.16,9719.29,9685.09,9709.81,16.456973
1602759600000,9709.98,9719.28,9691.31,9700.8,14.476016
1602763200000,9697.95,9760.0,9677.29,9757.61,43.785234
1602766800000,9757.61,9784.11,9749.75,9782.6,18.731201
1602770400000,9782.1,9782.6,9752.09,9769.2,21.896938
1602774000000,9768.52,9792.19,9750.0,9772.95,19.365973
1602777600000,9772.93,9839.0,9758.47,9768.31,21.682877
1602781200000,9766.58,9835.0,9764.15,9831.75,15.335404
1602784800000,9835.0,9842.0,9811.94,9839.94,10.728213
1602788400000,9837.56,9884.93,9800.0,9809.97,74.843278
1602792000000,9809.97,9894.0,9800.0,9868.45,29.404435
1602795600000,9871.15,9872.42,9805.62,9848.47,17.78127
1602799200000,9844.75,9860.0,9833.64,9834.38,8.546362
1602802800000,9837.73,9855.53,9831.83,9855.26,4.549434
1602806400000,9856.31,9861.12,9832.34,9856.34,5.858017
1602810000000,9857.34,9881.42,9857.3,9870.0,3.166159
1602813600000,9876.77,9880.43,9853.07,9867.92,1.387647
1602817200000,9865.05,9876.57,9840.05,9853.94,2.258004
1602820800000,9857.16,9857.16,9607.0,9660.03,70.902629
1602824400000,9658.66,9733.84,9658.66,9721.91,7.733605
1602828000000,9720.43,9738.82,9705.01,9715.34,8.330156
1602831600000,9717.06,9723.24,9690.01,9694.7,19.22199
1602835200000,9690.0,9722.77,9685.66,9695.15,18.170337
1602838800000,9694.54,9697.48,9613.63,9642.66,43.396336
1602842400000,9643.21,9701.64,9642.81,9683.91,26.899191
1602846000000,9682.92,9734.42,9660.47,9727.46,42.063884
1602849600000,9727.49,9740.11,9693.4,9719.0,19.973837
1602853200000,9723.0,9740.66,9697.33,9713.64,21.47031
1602856800000,9713.64,9745.98,9692.79,9705.61,23.96569
1602860400000,9705.03,9711.72,9669.49,9703.74,22.564049
1602864000000,9704.0,9723.48,9690.09,9714.43,19.781447
1602867600000,9719.17,9726.62,9690.13,9708.33,14.272697
1602871200000,9711.58,9739.02,9708.27,9733.27,12.490355
1602874800000,9735.47,9740.6,9698.0,9700.0,9.373505
1602878400000,9697.69,9701.8,9666.66,9691.0,15.765018
1602882000000,9691.0,9717.94,9685.84,9715.25,6.667279
1602885600000,9713.43,9725.25,9700.09,9720.99,3.934873
1602889200000,9720.99,9720.99,9686.0,9696.0,5.08806
1602892800000,9696.0,9705.43,9660.0,9684.57,5.081297
1602896400000,9687.38,9723.21,9678.41,9721.24,2.365684
1602900000000,9714.66,9722.96,9706.93,9719.3,0.477076
1602903600000,9716.69,9731.32,9705.76,9730.83,1.389329
