time,etheur_open,etheur_high,etheur_low,etheur_close,volume
1601737200000,297.12,298.08,297.12,297.74,40.28196
1601740800000,298.01,298.65,297.07,298.65,92.85955
1601744400000,298.2,298.94,297.5,298.94,13.06344
1601748000000,299.0,301.0,299.0,299.97,53.7119
1601751600000,300.91,301.0,300.3,300.45,15.5256
1601755200000,300.62,300.62,299.04,299.53,12.42456
1601758800000,299.53,300.41,298.41,299.28,92.36547
1601762400000,299.31,299.48,297.56,297.79,8.46388
1601766000000,297.9,297.9,296.25,296.93,34.53827
1601769600000,296.17,297.78,296.02,297.78,2.78446
1601773200000,297.59,297.59,295.11,295.95,7.21106
1601776800000,296.01,296.77,295.12,296.54,24.13078
1601780400000,296.7,296.7,296.68,296.68,0.4702
1601784000000,296.4,297.76,296.4,297.57,4.26915
1601787600000,297.58,297.95,297.25,297.6,9.2448
1601791200000,297.6,299.69,297.6,299.39,35.62848
1601794800000,299.69,299.8,298.45,298.93,100.92765
1601798400000,298.95,299.55,298.0,298.44,24.87326
1601802000000,298.44,298.84,297.14,297.14,36.80271
1601805600000,297.59,298.1,296.32,297.1,55.37376
1601809200000,297.1,298.18,296.89,297.84,29.11394
1601812800000,297.77,298.34,296.17,298.34,23.19677
1601816400000,298.9,299.5,297.94,298.47,13.54839
1601820000000,298.47,299.36,298.26,298.26,23.04288
1601823600000,298.44,298.59,297.2,297.81,26.83451
1601827200000,297.58,298.59,297.22,298.59,30.02634
1601830800000,298.69,299.0,297.69,298.71,64.93109
1601834400000,298.9,301.61,298.85,300.69,74.89764
1601838000000,301.62,303.02,300.69,302.7,107.6289
1601841600000,303.5,303.55,300.55,301.56,44.33458
1601845200000,301.55,302.17,301.25,301.25,18.21558
1601848800000,301.25,301.96,300.76,301.52,59.49705
1601852400000,301.52,301.97,300.8,301.21,16.49351
1601856000000,302.17,304.13,302.17,303.42,20.04019
1601859600000,302.71,303.47,302.08,302.08,3.73528
1601863200000,302.48,302.98,302.14,302.82,4.1736
1601866800000,302.82,302.82,300.63,300.63,8.34919
1601870400000,300.58,300.97,299.32,300.85,64.43153
1601874000000,300.88,301.84,300.55,301.84,6.72023
1601877600000,301.57,301.8,298.14,299.84,44.7051
1601881200000,299.65,301.28,299.65,300.35,49.15111
1601884800000,300.78,300.79,299.3,300.01,65.22291
1601888400000,299.73,301.28,299.26,300.41,86.90167
1601892000000,300.35,301.07,299.24,300.5,58.45079
1601895600000,300.5,301.26,299.77,299.77,35.91433
1601899200000,299.77,300.71,298.98,300.63,76.94828
1601902800000,301.28,301.58,300.3,300.88,101.99852
1601906400000,301.11,301.45,299.97,301.21,27.60773
1601910000000,300.89,301.65,300.38,301.02,24.77835
1601913600000,301.09,301.67,300.25,301.67,53.40369
1601917200000,300.85,301.33,299.5,299.61,382.08058
1601920800000,300.06,300.06,298.25,299.89,17.10425
1601924400000,299.58,300.28,299.12,300.03,46.19235
1601928000000,300.33,300.67,299.19,300.16,56.04617
1601931600000,300.34,301.15,300.0,300.78,21.83161
1601935200000,301.0,301.5,299.81,300.8,21.29938
1601938800000,301.15,301.74,300.44,301.74,24.00741
1601942400000,301.84,301.84,300.0,300.0,1.13408
1601946000000,300.23,300.56,299.6,300.15,5.42783
1601949600000,300.09,301.6,300.09,300.45,6.8887
1601953200000,300.1,301.27,300.1,301.27,4.9034
1601956800000,301.74,301.74,301.27,301.51,1.76722
1601960400000,300.92,301.26,300.23,301.14,2.60824
1601964000000,301.26,301.26,300.65,301.26,59.56622
1601967600000,301.26,301.26,298.63,298.63,87.38623
1601971200000,298.63,300.12,298.0,299.77,44.09055
1601974800000,299.48,300.56,299.48,300.15,38.434
1601978400000,300.01,300.71,298.06,298.06,138.07057
1601982000000,298.05,298.05,293.29,294.8,287.64533
1601985600000,294.22,295.86,293.32,295.05,77.36175
1601989200000,294.5,295.9,294.3,295.0,31.67816
1601992800000,294.76,295.88,293.6,294.12,91.64271
1601996400000,293.67,300.5,290.79,299.96,187.34443
1602000000000,299.11,300.3,298.08,298.37,102.12348
1602003600000,298.37,298.73,296.75,296.92,44.79916
1602007200000,296.93,298.51,292.46,293.06,70.28279
1602010800000,292.6,292.64,290.0,291.0,122.15744
1602014400000,290.75,292.0,288.03,288.99,132.50242
1602018000000,288.93,290.49,288.41,290.49,18.58062
1602021600000,290.5,291.95,290.26,290.26,46.39566
1602025200000,290.17,291.65,289.95,291.65,57.97882
1602028800000,290.62,291.22,289.8,291.22,12.97804
1602032400000,290.42,290.42,285.39,288.24,46.87399
1602036000000,288.65,289.68,288.65,289.15,2.345
1602039600000,289.52,289.52,287.46,288.81,13.85051
1602043200000,287.95,289.85,287.94,289.46,7.66052
1602046800000,289.68,290.91,288.7,290.82,32.382
1602050400000,290.43,291.68,290.19,291.39,25.37046
1602054000000,291.52,292.59,290.58,291.68,66.44453
1602057600000,291.29,291.7,290.36,290.36,60.19562
1602061200000,290.28,290.42,288.35,289.43,78.71129
1602064800000,289.43,290.42,288.59,290.25,62.88865
1602068400000,290.76,290.86,288.61,289.78,51.5215
1602072000000,289.57,291.81,289.56,290.6,22.22268
1602075600000,291.19,291.54,289.87,290.81,67.53277
1602079200000,290.9,291.34,289.66,291.34,40.71587
1602082800000,291.34,292.36,290.49,290.77,115.60948
1602086400000,290.64,290.64,288.0,288.7,201.61754
1602090000000,289.14,289.52,287.94,289.52,106.02151
1602093600000,288.95,291.92,288.84,291.46,93.54671
1602097200000,291.49,292.3,290.94,291.46,70.78016
1602100800000,291.0,292.06,290.2,290.84,43.07537
1602104400000,290.74,291.0,289.78,290.35,20.05833
1602108000000,290.76,290.76,289.53,290.29,7.77584
1602111600000,290.49,291.35,290.09,291.35,6.65013
1602115200000,291.75,291.81,289.88,290.36,7.60857
1602118800000,290.36,290.36,289.09,290.02,4.64163
1602122400000,289.21,289.21,288.93,288.93,1.46176
1602126000000,289.2,290.25,288.56,289.62,3.75113
1602129600000,289.36,290.68,289.36,290.18,9.01931
1602133200000,289.41,289.79,289.12,289.12,14.94694
1602136800000,289.65,290.0,289.26,289.31,56.82841
1602140400000,289.32,290.14,284.59,287.22,205.1915
1602144000000,286.91,287.49,286.27,286.27,41.44157
1602147600000,286.17,287.73,285.56,287.03,59.59344
1602151200000,287.39,289.67,287.39,289.27,126.79563
1602154800000,288.98,289.47,287.72,288.77,70.36547
1602158400000,288.51,291.1,288.03,291.1,36.82582
1602162000000,291.1,294.48,290.73,294.31,179.10913
1602165600000,294.48,298.7,292.95,298.7,217.11933
1602169200000,298.75,299.0,297.23,298.0,97.35085
1602172800000,298.0,300.0,297.14,299.44,260.11839
1602176400000,299.67,300.7,297.99,298.99,110.41945
1602180000000,299.14,299.77,298.35,299.3,49.93553
1602183600000,299.3,300.0,298.92,300.0,47.22106
1602187200000,300.0,300.99,298.98,299.64,56.13168
1602190800000,300.07,300.07,298.16,298.86,36.44724
1602194400000,298.87,300.07,298.77,299.53,48.26327
1602198000000,299.86,300.0,298.15,299.1,9.80389
1602201600000,299.03,299.03,297.56,297.8,7.88474
1602205200000,297.98,299.44,297.8,299.04,13.2604
1602208800000,299.26,299.44,298.41,299.38,13.84309
1602212400000,299.21,299.21,299.0,299.04,2.87922
1602216000000,299.04,299.04,298.0,298.64,2.34448
1602219600000,298.0,298.32,297.21,297.21,37.51914
1602223200000,297.2,297.96,296.2,297.53,15.29229
1602226800000,297.95,299.29,297.95,298.82,11.73224
1602230400000,299.11,299.29,298.31,298.85,64.53339
1602234000000,298.79,298.8,297.53,298.17,35.59513
1602237600000,298.2,303.2,297.53,303.2,169.0128
1602241200000,303.29,307.0,303.21,305.0,164.94425
1602244800000,305.42,306.39,305.01,305.52,127.19259
1602248400000,305.74,306.39,304.86,306.29,32.50581
1602252000000,306.4,307.0,305.0,306.75,133.42322
1602255600000,306.38,310.28,305.89,310.05,163.85783
1602259200000,310.46,310.86,308.22,309.2,66.50566
1602262800000,309.04,310.51,308.84,309.63,150.03078
1602266400000,309.86,309.86,308.0,308.42,32.90607
1602270000000,308.42,309.5,307.82,308.91,41.40548
1602273600000,309.06,309.5,308.16,308.34,36.76719
1602277200000,308.4,309.4,307.69,309.4,31.08381
1602280800000,309.07,309.99,309.06,309.88,28.7305
1602284400000,309.99,312.36,309.49,309.49,189.83279
1602288000000,310.0,312.12,309.96,311.15,88.44031
1602291600000,310.8,312.36,310.8,312.36,31.4371
1602295200000,312.36,318.76,312.36,317.33,151.62988
1602298800000,317.33,319.49,316.83,318.22,38.05244
1602302400000,318.32,318.4,316.75,318.0,19.34016
1602306000000,317.05,317.99,316.99,317.09,12.53047
1602309600000,317.09,318.0,315.96,316.45,86.70196
1602313200000,316.45,317.46,316.39,317.05,53.94104
1602316800000,317.05,318.83,317.05,318.33,76.77943
1602320400000,318.33,318.82,313.67,314.86,156.49836
1602324000000,315.24,315.25,312.2,314.38,91.58622
1602327600000,314.94,315.41,313.97,314.57,24.30323
1602331200000,315.19,316.18,314.34,315.97,66.6166
1602334800000,315.6,317.5,315.25,316.97,45.70879
1602338400000,316.74,316.98,315.54,316.68,55.58975
1602342000000,316.46,317.64,314.93,315.45,90.1674
1602345600000,315.77,316.6,314.96,315.18,103.5089
1602349200000,315.38,316.5,314.58,315.18,54.40893
1602352800000,315.08,317.19,314.8,316.64,98.38907
1602356400000,316.18,317.5,315.81,316.77,47.54631
1602360000000,316.67,317.44,315.6,317.44,33.25559
1602363600000,315.99,317.65,314.21,317.61,53.86901
1602367200000,316.98,317.68,316.52,317.13,13.7938
1602370800000,316.0,316.0,311.9,312.96,87.58567
1602374400000,313.88,313.96,312.24,312.99,17.45086
1602378000000,313.52,314.6,313.52,313.92,1.40129
1602381600000,314.97,315.41,314.21,314.46,5.53259
1602385200000,315.0,315.0,312.86,313.09,8.04509
1602388800000,313.83,313.83,312.65,313.22,3.52839
1602392400000,313.92,314.75,313.91,314.31,15.63497
1602396000000,314.39,315.07,314.1,315.07,18.05741
1602399600000,315.07,315.59,314.73,314.94,35.90451
1602403200000,314.95,315.62,314.51,315.1,8.00247
1602406800000,314.42,315.62,314.3,315.41,21.24405
1602410400000,315.41,319.0,314.92,318.28,136.03081
1602414000000,319.11,319.27,316.04,316.85,38.95298
1602417600000,316.4,316.78,314.15,316.0,125.60845
1602421200000,315.49,316.0,314.83,315.54,53.2349
1602424800000,315.56,317.7,314.57,315.64,134.57027
1602428400000,315.56,317.49,315.56,317.48,129.9423
1602432000000,317.49,318.11,316.21,316.99,106.44056
1602435600000,317.29,318.11,317.16,317.47,17.62309
1602439200000,318.06,318.11,317.02,317.57,36.27404
1602442800000,317.89,318.43,315.84,316.39,118.8323
1602446400000,316.5,317.24,316.3,316.3,21.81864
1602450000000,316.3,316.3,315.0,315.86,49.76744
1602453600000,315.78,316.3,314.46,316.3,19.36304
1602457200000,316.29,317.67,316.05,317.21,18.46999
1602460800000,316.74,316.76,315.68,316.29,14.08547
1602464400000,316.55,317.23,316.03,316.91,2.09908
1602468000000,316.05,316.62,315.61,316.61,3.59224
1602471600000,316.4,317.25,316.05,316.05,4.3445
1602475200000,316.04,316.04,315.45,316.04,11.26892
1602478800000,316.04,317.0,316.0,316.44,8.86631
1602482400000,316.62,316.62,315.06,315.06,16.63749
1602486000000,315.06,318.11,314.05,317.88,111.56522
1602489600000,317.36,318.47,317.07,317.94,59.86213
1602493200000,317.44,318.24,316.55,317.33,47.40035
1602496800000,317.37,317.67,311.38,312.8,203.45549
1602500400000,312.35,313.3,311.45,312.62,128.9312
1602504000000,312.18,314.13,311.69,313.67,111.12335
1602507600000,313.86,326.5,313.26,325.52,523.24579
1602511200000,325.52,326.85,324.73,325.46,261.79439
1602514800000,325.48,328.88,325.48,327.31,170.46209
1602518400000,327.84,329.68,327.08,328.77,93.74751
1602522000000,329.38,330.0,328.04,329.48,79.1697
1602525600000,329.81,330.78,329.37,329.69,85.10868
1602529200000,329.67,330.55,328.48,329.86,138.84738
1602532800000,329.99,330.0,328.71,329.27,77.46076
1602536400000,329.21,333.02,328.97,332.47,157.59973
1602540000000,333.15,335.0,331.56,332.95,119.56271
1602543600000,332.81,332.81,325.02,326.65,273.56119
1602547200000,326.36,327.7,324.3,326.72,75.44086
1602550800000,326.75,326.75,324.44,326.25,19.49548
1602554400000,326.36,326.49,323.6,325.26,35.90992
1602558000000,324.33,325.44,323.13,324.05,24.98464
1602561600000,323.67,325.77,323.67,325.55,20.87512
1602565200000,325.33,326.97,325.33,326.44,16.01146
1602568800000,326.18,326.18,324.88,325.84,12.85719
1602572400000,325.5,325.84,323.73,325.79,179.48095
1602576000000,325.7,327.61,325.41,327.6,41.26335
1602579600000,326.92,327.67,326.25,326.25,64.88798
1602583200000,326.12,329.68,322.91,327.9,174.36019
1602586800000,328.16,328.62,326.66,327.22,64.16556
1602590400000,327.48,328.62,326.0,326.21,38.33485
1602594000000,326.21,326.21,320.14,322.5,177.59393
1602597600000,322.01,324.48,319.9,324.02,247.0337
1602601200000,324.51,325.7,323.58,324.55,135.89142
1602604800000,324.21,325.42,323.0,324.97,82.69485
1602608400000,324.87,325.02,321.75,321.75,118.05383
1602612000000,321.78,324.27,321.78,323.28,55.53562
1602615600000,322.59,324.95,322.59,323.53,99.29239
1602619200000,323.53,324.84,323.5,324.84,96.52946
1602622800000,324.84,327.42,324.62,327.12,77.65221
1602626400000,327.34,327.6,325.7,325.9,67.62456
1602630000000,326.39,326.73,325.5,325.57,12.88844
1602633600000,326.15,328.87,325.22,328.87,26.16669
1602637200000,329.0,329.0,327.45,327.6,14.55055
1602640800000,328.33,328.33,326.62,326.7,11.18964
1602644400000,327.07,327.7,324.92,324.92,132.2619
1602648000000,324.92,325.8,323.2,325.56,58.58818
1602651600000,325.3,326.23,324.83,326.23,8.35142
1602655200000,326.01,327.69,325.2,327.33,93.86447
1602658800000,327.49,327.5,326.02,327.25,31.60816
1602662400000,326.94,327.74,326.58,327.58,54.26779
1602666000000,327.58,327.58,326.34,326.51,47.26649
1602669600000,326.66,326.84,323.26,324.52,128.3494
1602673200000,324.6,326.01,324.31,324.33,60.54566
1602676800000,324.31,325.9,323.49,325.9,71.52131
1602680400000,325.56,330.32,325.52,329.78,159.56785
1602684000000,330.3,330.57,323.64,325.03,277.08092
1602687600000,325.24,325.45,320.22,320.78,178.16267
1602691200000,320.23,322.08,318.86,321.16,312.29205
1602694800000,320.93,320.93,319.48,320.05,129.74456
1602698400000,320.16,321.54,319.5,321.2,63.23133
1602702000000,321.38,322.03,320.5,320.5,37.25748
1602705600000,320.36,321.97,320.36,321.97,30.17901
1602709200000,321.8,323.28,321.0,321.0,86.96324
1602712800000,321.11,322.51,321.11,322.41,58.19058
1602716400000,322.47,323.83,322.24,323.36,31.839
1602720000000,322.81,323.17,321.63,322.47,3.7685
1602723600000,321.83,321.91,321.1,321.61,6.36766
1602727200000,321.97,321.97,320.53,320.53,107.53894
1602730800000,320.57,321.7,320.57,321.18,5.63814
1602734400000,320.98,322.32,320.27,322.32,65.99949
1602738000000,322.24,323.91,321.65,323.91,12.16745
1602741600000,322.74,324.99,322.0,323.8,53.0013
1602745200000,323.8,324.44,322.84,324.13,40.14369
1602748800000,324.47,324.47,321.43,321.91,120.79799
1602752400000,321.43,321.63,317.62,319.04,273.25637
1602756000000,319.05,320.25,318.87,319.98,70.45342
1602759600000,320.08,320.4,318.86,318.88,113.66699
1602763200000,318.59,322.9,317.37,321.88,150.02255
1602766800000,321.99,323.5,321.3,323.3,39.50484
1602770400000,323.5,323.69,321.56,322.44,83.12913
1602774000000,322.6,323.49,321.77,323.49,73.11097
1602777600000,323.02,324.73,321.25,322.23,49.62584
1602781200000,322.23,324.5,322.23,324.4,37.78198
1602784800000,324.4,324.5,322.96,322.99,58.71082
1602788400000,323.06,324.72,322.25,322.25,118.1867
1602792000000,322.02,325.22,321.5,325.1,111.53229
1602795600000,325.25,325.25,323.17,323.69,29.32568
1602799200000,324.39,324.44,323.4,323.44,22.53747
1602802800000,322.93,323.78,322.75,323.17,14.85791
1602806400000,323.84,324.02,322.2,323.96,14.31907
1602810000000,324.0,324.96,323.96,324.96,59.46995
1602813600000,324.4,324.4,324.16,324.29,1.61479
1602817200000,324.4,324.4,322.95,323.52,5.28218
1602820800000,323.45,323.45,313.37,316.23,344.49448
1602824400000,315.74,318.76,315.5,316.55,101.32254
1602828000000,316.76,319.26,316.5,317.49,72.26712
1602831600000,317.16,317.72,316.37,316.53,74.66067
1602835200000,316.36,317.83,315.26,316.1,44.93813
1602838800000,316.1,316.23,310.0,311.6,308.65936
1602842400000,311.08,314.15,311.08,312.75,101.00668
1602846000000,312.51,317.01,312.06,316.56,72.73838
1602849600000,316.27,316.27,314.78,315.87,81.22483
1602853200000,316.1,319.81,314.86,315.9,379.05164
1602856800000,315.84,316.67,314.33,314.93,54.3096
1602860400000,314.34,314.91,313.23,314.31,56.10296
1602864000000,314.1,315.16,313.36,315.05,59.03703
1602867600000,315.02,315.5,313.82,313.82,77.36162
1602871200000,314.37,316.37,314.37,315.5,38.86136
1602874800000,315.51,315.6,313.28,313.28,18.9052
1602878400000,313.14,314.37,312.38,313.86,53.02524
1602882000000,313.61,314.27,312.15,313.61,18.63428
1602885600000,313.83,314.55,313.34,313.97,15.75879
1602889200000,313.56,314.45,313.0,313.33,10.82329
1602892800000,312.79,313.17,311.41,311.93,26.58757
1602896400000,312.44,314.98,312.23,314.78,16.89369
1602900000000,315.18,315.66,314.56,315.46,18.66173
1602903600000,314.77,315.23,314.77,315.17,2.26239
1602907200000,315.68,315.75,315.1,315.21,11.84725
1602910800000,315.26,315.49,314.87,315.11,4.75971
1602914400000,315.38,316.31,314.72,314.79,16.03088
1602918000000,315.31,316.04,314.79,315.78,23.85966
1602921600000,315.65,315.75,314.28,314.28,27.72825
1602925200000,314.3,315.06,314.21,314.63,64.78562
1602928800000,315.2,316.17,314.85,315.67,63.57166
1602932400000,315.28,316.21,315.28,315.46,38.35445
1602936000000,315.75,315.75,314.5,315.35,32.05639
1602939600000,315.36,315.44,313.64,313.72,27.87363
1602943200000,314.09,315.97,312.46,315.97,52.74366
1602946800000,315.98,317.5,314.81,315.08,67.8733
1602950400000,315.14,315.14,313.62,314.25,36.01581
1602954000000,313.94,314.46,313.94,314.46,18.4994
1602957600000,314.55,314.77,314.1,314.5,25.19581
1602961200000,314.76,314.81,313.88,314.2,36.48355
1602964800000,314.16,314.61,313.38,314.18,84.30274
1602968400000,314.75,315.44,314.42,314.96,33.1349
1602972000000,314.89,315.19,314.77,315.19,6.37267
1602975600000,314.97,315.6,314.93,315.34,16.5421
1602979200000,315.39,316.31,314.6,316.13,13.90386
1602982800000,316.02,316.8,316.02,316.8,3.59492
1602986400000,316.8,316.8,315.82,316.03,1.24646
1602990000000,315.94,315.95,315.56,315.56,2.32611
1602993600000,316.27,316.27,315.55,315.63,3.69738
1602997200000,315.63,316.3,315.63,316.3,12.42518
1603000800000,316.3,319.98,316.06,319.98,72.11322
1603004400000,319.98,320.12,318.85,319.84,80.89044
1603008000000,320.03,321.0,318.5,319.55,33.15701
1603011600000,319.86,320.12,318.4,318.4,33.84376
1603015200000,318.42,319.09,318.29,319.08,37.95275
1603018800000,319.08,319.35,318.97,319.14,20.64327
1603022400000,319.35,319.91,319.26,319.91,58.92828
1603026000000,320.0,320.52,319.9,320.52,72.27973
1603029600000,320.52,323.0,320.52,321.24,53.31771
1603033200000,321.65,321.78,321.2,321.68,53.85451
1603036800000,321.92,322.39,321.2,322.11,75.679
1603040400000,321.82,322.36,321.51,322.35,61.97324
1603044000000,322.62,322.86,322.15,322.18,30.20015
1603047600000,322.0,322.0,321.48,321.87,20.93819
1603051200000,321.84,321.96,321.34,321.76,14.69866
1603054800000,321.87,322.49,321.74,321.93,102.7518
1603058400000,321.92,323.18,321.87,323.18,31.78235
1603062000000,323.33,324.06,323.0,323.11,10.5034
1603065600000,324.18,325.0,319.86,321.13,87.05205
1603069200000,321.08,321.62,321.06,321.55,5.65917
1603072800000,321.69,321.86,321.1,321.86,5.67535
1603076400000,321.51,321.71,319.52,319.52,11.27991
1603080000000,320.0,320.59,319.89,320.11,13.94234
1603083600000,320.54,320.54,319.89,320.44,10.72889
1603087200000,320.04,321.68,320.04,321.55,34.37106
1603090800000,321.79,321.9,321.01,321.27,36.19025
1603094400000,321.28,321.5,320.9,321.06,49.52412
1603098000000,321.0,321.75,320.24,321.2,68.29094
1603101600000,321.4,321.72,320.53,320.75,81.3673
1603105200000,320.79,321.61,320.0,320.0,131.74721
1603108800000,320.0,321.57,319.24,321.31,44.43358
1603112400000,321.29,324.74,321.24,324.74,122.02665
1603116000000,324.57,324.99,322.8,323.47,102.65998
1603119600000,323.26,326.2,322.88,325.6,161.41442
1603123200000,326.0,326.24,324.53,325.02,114.29822
1603126800000,325.0,325.19,323.51,323.51,174.44632
1603130400000,323.79,324.07,322.51,322.8,100.52944
1603134000000,322.72,323.81,322.72,323.47,89.01322
1603137600000,323.5,323.8,322.5,323.63,48.55855
1603141200000,323.31,324.04,322.8,323.48,45.2311
1603144800000,323.36,323.37,321.38,323.01,59.06923
1603148400000,323.0,323.57,322.24,323.57,13.95282
1603152000000,322.87,322.93,322.0,322.52,25.11706
1603155600000,322.76,322.95,322.08,322.08,4.57218
1603159200000,322.29,323.14,322.29,322.63,5.11262
1603162800000,322.99,324.12,322.82,323.74,8.33165
1603166400000,323.66,323.67,322.45,322.58,17.19142
1603170000000,322.42,322.6,321.6,322.15,41.39185
1603173600000,321.87,324.61,321.55,323.0,213.18127
1603177200000,322.59,323.72,319.0,320.09,134.0009
1603180800000,319.92,319.92,318.7,319.24,73.13082
1603184400000,319.13,320.4,319.03,320.0,83.69753
1603188000000,320.0,320.21,318.5,319.51,79.99974
1603191600000,319.97,320.36,311.0,312.66,409.68467
1603195200000,312.56,314.85,312.27,314.0,208.42754
1603198800000,314.25,314.59,312.4,314.16,299.99449
1603202400000,314.2,314.2,312.88,313.44,92.83257
1603206000000,313.19,316.86,312.81,314.1,260.30594
1603209600000,314.12,315.44,313.61,314.54,104.81658
1603213200000,314.54,315.62,313.66,313.89,151.35413
1603216800000,313.76,314.05,312.21,313.85,89.38798
1603220400000,313.83,314.05,312.11,313.08,93.29339
1603224000000,312.81,313.16,311.5,312.58,74.97195
1603227600000,312.41,314.09,312.18,314.09,48.34261
1603231200000,313.92,314.5,312.8,312.8,111.76387
1603234800000,313.29,313.99,311.91,312.96,54.0551
1603238400000,312.62,315.81,312.2,315.66,20.126
1603242000000,315.42,315.57,313.85,314.37,19.41861
1603245600000,314.57,315.62,314.34,314.53,25.29207
1603249200000,314.63,321.01,314.63,319.95,870.57394
1603252800000,319.97,323.0,319.62,323.0,203.00035
1603256400000,323.0,323.29,320.84,321.91,56.21993
1603260000000,322.0,323.59,321.56,321.56,139.67688
1603263600000,321.48,321.74,319.77,320.28,139.28543
1603267200000,320.28,320.84,319.0,319.23,103.49652
1603270800000,319.01,321.03,318.68,320.71,84.50602
1603274400000,320.71,322.68,320.32,320.79,158.71884
1603278000000,321.0,322.09,319.23,321.2,175.00663
1603281600000,321.38,323.33,319.67,322.35,333.39622
1603285200000,322.35,326.88,321.76,325.62,496.06008
1603288800000,325.8,329.06,324.45,328.29,350.63155
1603292400000,328.49,331.66,326.65,331.48,480.0968
1603296000000,332.0,337.33,331.62,334.63,622.02674
1603299600000,334.2,337.32,333.24,334.74,388.33419
1603303200000,333.96,334.94,332.16,333.39,323.37425
1603306800000,333.58,333.96,330.48,330.77,186.48459
1603310400000,331.0,333.51,330.86,333.5,204.8671
1603314000000,333.27,335.12,331.32,334.44,230.87677
1603317600000,334.4,339.25,334.15,338.53,264.00021
1603321200000,338.71,338.71,328.67,330.63,361.63652
